IdBuque;Buque;CFR;Censo;Geom;Latitud;Longitud;IdPosicion;Fecha;Hora;Velocidad;Rumbo;IdSuceso;TipoSuceso;IdDiario;HojaMarea
41184;MUNDAKA;ESP000022047;CERCO EN CANTABRICO NW;0xE6100000010C77483140A24928C09087BEBB95654540;42,793632;-12,143816;256192582;2024-05-19;19:10;8;233;0;Posicion;2289464;ESP-TRP-02204720240518112336
41184;MUNDAKA;ESP000022047;CERCO EN CANTABRICO NW;0xE6100000010C4B5B5CE333A128C0386BF0BE2A5D4540;42,727867;-12,314849;256193581;2024-05-19;20:10;8,1;243;0;Posicion;2289464;ESP-TRP-02204720240518112336
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CF8FFFF3F193D27C0FCFFFF9FA87F4540;42,9973335266113;-11,6193332672119;256374338;2024-05-24;17:03;8,6;230;0;Posicion;2295037;ESP-TRP-02542620240523102752
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CE4FFFF5F10D827C0FFFFFF3F6F6B4540;42,8393325805664;-11,9219999313354;256376775;2024-05-24;19:03;8,8;236;0;Posicion;2295037;ESP-TRP-02542620240523102752
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CF2FFFF5FBC7428C0050000203C584540;42,6893348693848;-12,2279996871948;256378994;2024-05-24;21:03;7,4;239;0;Posicion;2295037;ESP-TRP-02542620240523102752
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C030000A0AA2A28C0FFFFFF3F4F744540;42,9086685180664;-12,0833330154419;256241086;2024-05-20;21:03;9,4;53;0;Posicion;2277266;ESP-TRP-02542620240504210646
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CF1FFFF3F33B326C0F9FFFFFF19764540;42,9226684570312;-11,3500003814697;255747153;2024-05-05;23:03;7,2;253;0;Posicion;2277266;ESP-TRP-02542620240504210646
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CF9FFFF5F128327C002000080CD854540;43,0453338623047;-11,7559995651245;256243482;2024-05-20;23:03;8,8;74;0;Posicion;2277266;ESP-TRP-02542620240504210646
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C0F0000C03C5127C0FCFFFF3FB4684540;42,818000793457;-11,6586666107178;255749504;2024-05-06;01:03;6,8;251;0;Posicion;2277266;ESP-TRP-02542620240504210646
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C19000000D5F827C0040000C0BB5B4540;42,716667175293;-11,9860000610352;255752030;2024-05-06;03:03;7,8;246;0;Posicion;2277266;ESP-TRP-02542620240504210646
7134726;CORVO;ESP000025426;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C030000A0AAAA28C0F9FFFFFF394D4540;42,6033325195312;-12,3333330154419;255754774;2024-05-06;05:03;8,4;243;0;Posicion;2277266;ESP-TRP-02542620240504210646
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C080000C0763E27C005000080308F4540;43,1186676025391;-11,6219997406006;256602466;2024-05-31;17:20;9,6;249;0;Posicion;2302216;ESP-TRP-02631120240530124245
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CF9FFFF5F120328C0FCFFFF3FF0804540;43,0073318481445;-12,0059995651245;256604821;2024-05-31;19:20;8,6;233;0;Posicion;2302216;ESP-TRP-02631120240530124245
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CFCFFFFFF9CB627C004000000B78C4540;43,0993347167969;-11,8566665649414;256087476;2024-05-16;03:20;8,6;260;0;Posicion;2286776;ESP-TRP-02631120240514153847
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C14000040E17A28C004000000BB824540;43,0213317871094;-12,2399997711182;256090427;2024-05-16;05:20;8,4;257;0;Posicion;2286776;ESP-TRP-02631120240514153847
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CE5FFFF1F318828C0FEFFFF7FDA404540;42,5066680908203;-12,2659997940063;256440392;2024-05-27;03:20;7,4;55;0;Posicion;2286776;ESP-TRP-02631120240514153847
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C000000A027EA27C0FFFFFF3F17524540;42,6413345336914;-11,9573335647583;256443225;2024-05-27;05:20;7,8;56;0;Posicion;2286776;ESP-TRP-02631120240514153847
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C13000080304F27C0FEFFFF1F22624540;42,7666664123535;-11,6546669006348;256454438;2024-05-27;07:20;8,2;64;0;Posicion;2286776;ESP-TRP-02631120240514153847
