IdGSA;NombreGSA;Descripcion;FaoArea;FaoSubarea;FaoDivision;Geometry
13;GSA12;Northern Tunisia;37;37.1;37.1.3;POLYGON ((8.6530871901697424 36.895803457011482, 8.6472586489170453 36.919977570732215, 8.6423214633072121 36.941032742478626, 8.4999999669976773 37.999999988008426, 8.4999999669976773 38.499999988474087, 10.999999969325984 38.499999988474087, 10.999999969325984 37.999999988008426, 11.999999970257306 36.9999999870771, 11.067083000000025 36.999999988692537, 11.038938478197281 37.000171112530609, 11.002078461517328 37.000395230286813, 11.000117579207995 37.000407152922321, 10.998037443143687 37.00041980064924, 10.994234267786283 37.000442924869162, 10.98707770522509 37.000486438488679, 10.98364900437474 37.000507285813455, 10.983148203958478 37.000521253075647, 10.983016293464402 37.000511132847805, 10.868183933207661 36.877310422450876, 10.85947013019603 36.870603138237186, 10.583349595540312 36.608069630265277, 10.496202337545469 36.608253040945385, 10.273397030416618 36.630096698507032, 9.9519541884569662 36.994659921705136, 9.7196166877278642 37.020716463842973, 9.2717533269387786 36.878428774099348, 8.6585815165950066 36.871809360418695, 8.6530871901697424 36.895803457011482))
14;GSA13;Gulf of Hammamet;37;37.2;37.2.2;POLYGON ((10.207598571232893 36.16858523652661, 10.569771336467682 36.557151158742045, 10.571015430989803 36.56181651320037, 10.583349595540312 36.608069630265277, 10.784544511872866 36.79936437492, 10.856811133704639 36.868074982634994, 10.872152802932249 36.881568521548218, 10.983016293464402 37.000511132847805, 11.067083000000025 36.9999999870771, 11.999999970257306 36.9999999870771, 12.848043266647664 35.869275657764604, 12.847499999999968 35.868750000000034, 12.846638999999982 35.869528000000059, 12.845417000000111 35.868306000000075, 12.845361000000082 35.865000000000066, 12.844528000000082 35.864167000000066, 12.844972000000041 35.863721999999996, 12.847499999999968 35.863721999999996, 12.848722000000009 35.862472000000139, 12.848694000000023 35.85916700000007, 12.849556000000121 35.858306000000084, 12.849582999999996 35.857500000000016, 12.852110999999923 35.854972000000089, 12.852056000000005 35.854167000000075, 12.852500000000134 35.853722000000062, 12.853333000000134 35.853750000000048, 12.854139000000032 35.852889000000062, 12.85750000000013 35.852889000000062, 12.85833300000013 35.853722000000062, 12.859691398254256 35.853744816527353, 13.500000079949359 34.999999957338957, 10.974332935030873 34.999999957338957, 10.794841025631285 35.000141361002306, 10.804073742180265 35.399446200305078, 10.207598571232893 36.16858523652661))
15;GSA14;Gulf of Gabes;37;37.2;37.2.2;POLYGON ((9.8211640672637373 34.067392982864135, 10.377516994596704 34.658517968155422, 10.528846655527616 34.782397132452274, 10.794841025631285 35.000141361002306, 10.974333000000058 35.000000000000114, 15.30000019073492 35.000000000000114, 11.562325718120519 33.166712756295851, 11.504742761779596 33.1460114455453, 11.255647652501295 33.057318215296561, 10.335127644523084 33.453492043359915, 9.8211640672637373 34.067392982864135))
16;GSA15;Malta Island;37;37.2;37.2.2;POLYGON ((15.30000019073492 36.5, 15.30000019073492 35.000000000000114, 13.499999999999943 35.000000000000114, 13.499999999999943 36.5, 15.30000019073492 36.5))
17;GSA16;South of Sicily;37;37.2;37.2.2;POLYGON ((12.343257578341309 38.000035069362241, 12.345513615817765 38.000000906602, 12.345542292615278 38.000000472354657, 12.345573434494213 37.99999999348455, 12.505417002434513 37.999999994134896, 12.534841471621064 38.000098248066649, 12.534495381687805 37.913566838925647, 12.502372658109095 37.779722157347692, 12.66863749589146 37.672646412085328, 13.025556646766006 37.6310058444833, 14.280722327341493 37.14916499080266, 14.578154953070282 36.875526975132175, 14.655487435759767 36.79819449244269, 15.018355239148889 36.79819449244269, 15.077841764294647 36.958808110336236, 15.190866162071586 37.030191940511145, 15.299119117083535 37.012034936134, 15.300000188380181 37.011887155912859, 15.30000018671484 36.499999997130487, 13.4999999895104 36.499999997130487, 13.4999999895104 34.999999999913257, 12.85969137989099 35.853744816218978, 12.860000000000014 35.853750000000048, 12.861667000000125 35.852056000000061, 12.862527999999941 35.852082999999993, 12.864167000000009 35.853694000000019, 12.870000000000005 35.853750000000048, 12.870778000000087 35.852917000000048, 12.873333000000116 35.852889000000062, 12.874110999999971 35.852056000000061, 12.877500000000111 35.852056000000061, 12.878721999999925 35.8532780000001, 12.878721999999925 35.859111000000041, 12.877917000000139 35.859972000000084, 12.877888999999925 35.860806000000139, 12.877083000000027 35.861667000000011, 12.87711100000007 35.866639000000134, 12.876667000000111 35.867083000000093, 12.875833 35.867083000000093, 12.874528000000055 35.868306000000075, 12.874582999999973 35.869167000000061, 12.875389000000041 35.870000000000061, 12.875361000000055 35.870861000000048, 12.874582999999973 35.871694000000048, 12.874556000000041 35.872499999999945, 12.874194000000102 35.872888999999986, 12.871667000000116 35.872888999999986, 12.870806000000073 35.87375000000003, 12.869167000000004 35.873721999999987, 12.868277999999975 35.872888999999986, 12.865833000000009 35.872917000000029, 12.865000000000009 35.872083000000089, 12.864167000000009 35.872083000000089, 12.863306000000023 35.872917000000029, 12.862472000000139 35.872055999999986, 12.860778000000096 35.872083000000089, 12.860000000000014 35.872861, 12.855000000000075 35.872888999999986, 12.854167000000075 35.872083000000089, 12.853333000000134 35.872055999999986, 12.852916999999991 35.87163900000013, 12.852943999999923 35.87080600000013, 12.852443999999934 35.87044400000002, 12.851694000000066 35.870417000000089, 12.850805999999977 35.8695560000001, 12.848332999999968 35.8695560000001, 12.848043256293238 35.869275647745951, 11.999999992293169 37.000000004355, 10.999999969325984 37.999999988008426, 12.317917002729587 37.999999997075463, 12.321055581562291 38.0000006434999, 12.333370594107123 37.986219558033156, 12.340444395955785 37.986072950741004, 12.34520913295222 37.99021460674561, 12.345519812943792 37.990516040308876, 12.34551513056698 37.997682542732889, 12.34361225231504 37.999665474383107, 12.343194392067289 38.000036038930148, 12.343257578341309 38.000035069362241))
31;GSA17;Northern Adriatic;37;37.2;37.2.1;POLYGON ((15.164486565022798 41.9215782602098, 14.558626891999722 41.887333329808882, 14.502193495529355 41.865687643491583, 12.778460858239498 43.362451926405186, 12.356471658414137 43.887278830389675, 11.813311339074062 45.032790016689887, 11.94639745259849 45.484332187576342, 12.938406528151347 46.053144730897884, 13.519453419194065 45.9309360157647, 13.823770973413104 45.766596253338832, 14.352183443802744 45.48123913659407, 14.959109387471699 45.1534826072388, 14.985531548606787 45.136021005097291, 15.423687236933517 44.66396041231684, 15.846194507819803 44.077144758307952, 17.087605618475777 43.47461886359639, 17.092624427218595 43.471403980010962, 18.480150648104939 42.582600381263433, 18.483672886166516 42.570801140932872, 18.539735709529737 42.391482237467642, 15.173798563091623 41.922856639012821, 15.173728048077692 41.922845854926265, 15.169797971194555 41.922244815703436, 15.164486565022798 41.9215782602098))
18;GSA18;Southern Adriatic;37;37.2;37.2.2;POLYGON ((19.848908612068215 39.806232175363618, 19.817856645942186 39.786244702914757, 19.760749581802258 39.78196167310432, 19.676159743044877 39.789100056121811, 19.646535453522404 39.751980464430744, 19.638349572916354 39.755400382469645, 19.595682428056989 39.766865697961521, 19.596249999999998 39.767472000000112, 19.596222000000012 39.768332999999927, 19.595389000000011 39.769138999999996, 19.595361000000025 39.770861000000025, 19.594138999999984 39.772083000000066, 19.592444000000057 39.772083000000066, 19.592083000000002 39.771667000000093, 19.592028000000084 39.770806000000107, 19.591222000000016 39.770000000000039, 19.591250000000002 39.769138999999996, 19.590806000000043 39.768722000000139, 19.589999999999975 39.768722000000139, 19.589726831213738 39.768466058074182, 19.166666085226666 39.882148961885889, 18.481209596119015 40.066344308678481, 18.462921450234035 40.072409922738927, 18.447862883157541 40.080573699283093, 18.416817474630761 40.097404502416509, 18.287668015328336 40.096099962423693, 18.22171248671026 40.135775620859135, 18.14266597485954 40.198475403630255, 18.102900911881818 40.231756672811343, 18.091746435253754 40.2369865802317, 18.089710778481219 40.238830005525529, 18.0841899187717 40.241262331550558, 17.813474146759631 40.3944431420486, 17.521967662650241 40.559388092131769, 17.222636923086668 40.666064472720905, 17.18170693180025 40.810918547357915, 15.734994640255422 41.248739372430691, 14.90685485044736 41.907016175080969, 15.169806921758436 41.922234897510975, 15.169797971194555 41.922244815703436, 18.539735709529737 42.391482237467642, 18.480150648104939 42.582600381263433, 18.6442047371649 42.57742693718302, 18.648763506002354 42.577283176452568, 18.844072101702523 42.454702105877971, 19.638121184567922 41.944265226175389, 19.796952731741669 41.692610047536505, 19.676394209223929 40.549130727899467, 19.817598182909876 40.194837121197054, 19.998666758379159 40.030029518712752, 20.066681883604247 39.829342914653409, 20.111865673708508 39.696022842617026, 20.234426736909597 39.651813316248024, 20.220149970874616 39.5986323627676, 20.186104565780568 39.60821022418412, 19.84123705759481 39.700881407064514, 19.837772154989977 39.708386581511945, 19.838914875843727 39.7091501663258, 19.863542297254014 39.726282285567834, 19.920414176305087 39.75471822509337, 19.941342421307354 39.76125830165654, 19.941342421307354 39.774345337188606, 19.907235140954072 39.778735383174705, 19.848908612068215 39.806232175363618))
19;GSA19;Western Ionian;37;37.2;37.2.2;POLYGON ((18.103752614503151 40.229341525159327, 18.22171248671026 40.135775620859135, 18.286536720504614 40.096088535203137, 18.416817474630761 40.097404502416509, 18.463145399581094 40.072288511955435, 18.481672599979845 40.066219883852284, 19.16666602569012 39.8821487412153, 19.166666022773143 34.999999999748411, 15.300000190045523 34.999999999748411, 15.300000190045523 37.012239037523784, 15.191360381581546 37.030109046276891, 15.155876538155837 37.18439115246747, 15.171580980794431 37.256488820944242, 15.074498971756611 37.30717134036837, 14.993478324507919 37.376770574788907, 15.061292963174083 37.626613980401089, 15.23618334710261 37.910364705346353, 15.446765646118592 38.1102394298361, 15.559293863741345 38.255403767275595, 15.565527697264656 38.262370992978276, 15.636793365113817 38.264290112066305, 15.646667000000036 38.264556000000027, 15.65094154637751 38.264535382032932, 15.656456204037795 38.263935859209539, 15.749957627888193 38.257874610034662, 15.749947099683766 38.257864068751587, 15.749992956315509 38.257874476959728, 15.75095162712438 38.257863861574037, 15.762198579532139 38.254310112158066, 15.801709075501833 38.241825805575729, 15.840235711004709 38.229652373747285, 15.882176162036103 38.21582531547773, 15.945309621114859 38.081630080068862, 16.366474219146824 38.684823445046845, 16.583546848998765 38.984937282291696, 16.873355980422559 39.065749443938785, 16.909047895510014 39.329869615585949, 16.546155196401628 39.501093635587893, 16.320074729533133 39.7413041316355, 16.715425136231943 40.50331015744996, 17.219570343024941 40.667157349657771, 17.521967662650241 40.559388092131769, 18.10000743093309 40.232312209010956, 18.103752614503151 40.229341525159327))
20;GSA20;Eastern Ionian;37;37.2;37.2.2;POLYGON ((22.998369618108143 36.095153880239479, 23.000038942554625 36.095753124912562, 23.000037297343567 36.095740424872417, 23.000000182537406 36.095362807294691, 22.999999279821964 36.095360657766662, 23.000000000000057 36.095361000000082, 23.000000000000057 35.000000000000114, 19.166666030883846 35.000000000000114, 19.166666030883846 39.882148742675838, 19.589726764163174 39.768465995252086, 19.589556000000016 39.768305999999995, 19.589499999999987 39.766666999999927, 19.590417000000002 39.765806000000111, 19.59036100000003 39.764944000000014, 19.591278000000045 39.764167000000043, 19.591222000000016 39.763306000000057, 19.591667000000086 39.762917000000016, 19.593305999999984 39.762917000000016, 19.595416999999998 39.765028000000029, 19.595443999999929 39.766611000000125, 19.595682369202166 39.76686563509071, 19.63834905190447 39.755400459215195, 19.638349572916354 39.755400382469645, 19.646535453522404 39.751980464430744, 19.726852513656809 39.6918431328279, 19.774441733773415 39.6371155296938, 19.844635833445409 39.582387926559704, 19.876758557024118 39.499106791355644, 19.88644077382736 39.471743633756489, 19.9557175413741 39.4405923355979, 20.038942651379955 39.397817418723378, 20.084972181494891 39.379219628777832, 20.084972181494891 39.415950263920138, 20.069597641724727 39.420181788627644, 20.0556602749611 39.424017761131381, 20.025474869888512 39.428912691683649, 19.992162415806888 39.438430535706971, 19.941004004181536 39.461035415262359, 19.91658953914822 39.481859517790781, 19.898714584253867 39.553817669544742, 19.874498892522183 39.589649018286025, 19.847431693652027 39.6328324755238, 19.831267866962492 39.658620512253833, 19.829008411181974 39.674210757139292, 19.825259542698404 39.700077949675858, 19.838017108363829 39.707855998689979, 19.841221999999959 39.699999999999989, 19.841237057766534 39.700881417121877, 20.186104660456294 39.608210333546424, 20.188530989496371 39.607527607836346, 20.220149970874616 39.5986323627676, 20.20175419146301 39.556224930450924, 20.271710345034478 39.536237458001892, 20.315968319742865 39.366343942185722, 20.343094175209387 39.3263689972876, 20.494427895180138 39.322085967477165, 20.723807936142236 39.0974648485269, 21.206838520325789 39.099844309532727, 21.21159744233745 38.7833759957573, 21.040276249917667 38.785755456763127, 21.052173554946819 38.676300250494933, 21.323432109611474 38.49784067505766, 21.597070125281959 38.512117441092641, 22.513162612526628 38.509737980086811, 23.085904542013225 38.292767017116319, 23.291535295983749 38.221587140741747, 23.246718336785023 38.021228970206494, 23.138630376364745 37.994866053030819, 22.835753370248028 37.874170704728613, 22.737127892563763 37.876518930387704, 22.362777346463133 38.033809075808165, 22.035044192340251 38.20406006496296, 21.788359448766812 38.180046505853909, 21.559139111818297 38.033782100372434, 21.497986157711466 38.002952925161708, 21.415313772553702 37.9612751111564, 21.294989961620217 37.90061599985944, 21.294989961620217 37.835124475016869, 21.406325553852469 37.749985492721692, 21.425569217088025 37.744713256218859, 21.741042661752431 37.474016687571407, 21.753366091577846 37.27376095290839, 21.691072091473814 37.158072095572152, 21.69802921998496 37.133393979343566, 21.773791891024189 36.8646509198083, 21.854098699970962 36.8646509198083, 21.863212417646935 37.0094577673251, 21.970639344412916 37.090027962399745, 22.125089270217643 37.069816741639954, 22.216505922877161 37.057854015608314, 22.217555832742505 37.05592218145631, 22.252063553196081 37.05560266552618, 22.342830337930195 36.950820421384549, 22.376985256002172 36.793267089633389, 22.414461766844 36.720098663704107, 22.4929839800364 36.718314067949734, 22.618466168645114 36.863609233707166, 22.817192537540791 36.86026929473411, 23.000000000000057 36.523722000000078, 23.000000000000057 36.31619400000011, 23.000389000000041 36.315833000000111, 23.000416094802915 36.3109685152221, 23.000415685598682 36.31096864587812, 23.000416118656176 36.310964232691845, 23.000416968749676 36.3108116105401, 23.000416680423371 36.310806524075531, 23.000416523491651 36.31080375558912, 22.999511721719841 36.306542033263838, 22.985603648597476 36.315624862662844, 22.985632601984719 36.315719995220491, 22.952348966850309 36.362405984853638, 22.945613349289545 36.375203658219277, 22.902936673903241 36.327233751777214, 22.93247161289446 36.296643993536463, 22.920503012647941 36.195056849980574, 22.959896913386046 36.165846406576009, 22.981585214802863 36.152537676161216, 23.000000000000057 36.146139000000062, 23.000000000000057 36.102874120786055, 23.000000563096819 36.102873313102521, 23.000000000000057 36.102872294853739, 23.000000208865515 36.102856176373336, 23.000005373911677 36.101953316944844, 22.995522034342002 36.103568169112066, 22.993552277150513 36.102026620005745, 22.993616508363402 36.100634943729119, 22.995778959193217 36.09920044664392, 22.996635375363326 36.096952354197128, 22.997170635469786 36.095367984282063, 22.998369618108143 36.095153880239479))
30;GSA21;Southern Ionian Sea (Libya);37;37.2;37.2.2;POLYGON ((22.705163460240726 32.114820988500242, 21.474397651163258 32.35704039829875, 20.660621987169293 31.571818266374748, 20.689175519239257 30.943640560835547, 20.660621987169293 30.229802259086455, 19.425193805798813 29.794594604285521, 19.40040379514511 29.803041519684655, 12.36582092084484 32.19999597191395, 12.366745151367354 32.212704141598351, 11.255647652501295 33.057318215296561, 11.417204752343025 33.114842135279332, 11.562325718120519 33.166712756295851, 15.30000019073492 35.000000000000114, 23.000000000000057 35.000000000000114, 23.000000000000057 34, 25.139999389648438 34, 25.14739624780924 31.672821339469692, 25.144809177135812 31.672019711936969, 25.143388110146248 31.671509585325452, 25.141748417465919 31.671218084404416, 25.141056102778748 31.671801086246262, 25.134023643060914 31.670161393565991, 25.092203023912077 31.633794988612578, 25.084262234185815 31.376286521778752, 24.847983696318806 31.445189664725945, 22.705163460240726 32.114820988500242))
